attractor_id,time_step,CK0,CK,AHK,AHP,BARR,IPT,PIN,CKX,AARR,ERF,AHP6,TDIF,PXY,IAA0,IAA,BR,BZR1,STM,GA,GID1,ETHL,ARF,HB8,TMO5,WOX4,LOG3,DELL,WRKY,LHW,ENDO
attractor_17,t,1,1,1,1,1,1,0,0,1,1,0,0_,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_17,t+1,1,1,1,1,1,1,1,0,0,1,0,0_,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1
attractor_18,t,1,1,1,1,1,1,0,0,1,1,0,0_,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_18,t+1,1,1,1,1,1,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
attractor_19,t,1,0,0,0,0,0,0,1,0,0,1,0_,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
attractor_20,t,1,0,0,0,0,0,0,1,0,0,1,0_,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
attractor_21,t,0,1,0,1,0,1,0,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0
attractor_21,t+1,0,0,1,0,1,0,0,0,0,1,1,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
attractor_21,t+2,0,0,0,1,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_21,t+3,0,1,0,0,1,0,0,0,0,1,1,0_,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_21,t+4,0,0,1,0,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
attractor_21,t+5,0,1,0,1,0,1,0,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_21,t+6,0,1,1,0,1,0,0,0,0,1,1,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
attractor_21,t+7,0,0,1,1,0,1,0,0,1,1,0,0_,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_21,t+8,0,1,0,1,1,0,0,0,0,1,1,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
attractor_21,t+9,0,0,1,0,1,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_21,t+10,0,1,0,1,0,1,1,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_21,t+11,0,1,1,0,1,0,0,0,0,1,1,0_,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
attractor_21,t+12,0,0,1,1,0,1,0,0,1,1,0,0_,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1
attractor_21,t+13,0,1,0,1,1,1,0,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0
attractor_21,t+14,0,0,1,0,1,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
attractor_21,t+15,0,0,0,1,0,1,1,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_21,t+16,0,1,0,0,1,0,0,0,0,1,1,0_,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
attractor_21,t+17,0,0,1,0,0,1,0,0,1,1,0,0_,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1
attractor_22,t,0,1,0,1,1,0,0,0,0,1,1,0_,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
attractor_22,t+1,0,0,1,0,1,1,1,1,0,1,0,0_,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
attractor_22,t+2,0,0,0,1,0,1,1,0,0,1,0,0_,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
attractor_22,t+3,0,1,0,0,1,0,0,0,0,1,1,0_,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
attractor_22,t+4,0,0,1,0,0,1,0,0,1,1,0,0_,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1
attractor_22,t+5,0,1,0,1,0,1,0,0,0,1,0,0_,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
attractor_22,t+6,0,0,1,0,1,0,0,0,0,0,1,0_,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
attractor_22,t+7,0,0,0,1,0,1,1,1,0,1,0,0_,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0
attractor_22,t+8,0,0,0,0,1,0,0,0,0,1,1,0_,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
attractor_22,t+9,0,0,0,0,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
attractor_22,t+10,0,1,0,0,0,1,0,0,0,1,0,0_,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_22,t+11,0,1,1,0,0,0,0,0,0,1,1,0_,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1
attractor_22,t+12,0,0,1,1,0,1,0,0,0,0,0,0_,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_23,t,0,0,0,0,0,0,0,0,0,1,1,0_,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
attractor_24,t,0,0,0,0,0,0,0,0,0,1,1,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_25,t,1,0,0,0,1,1,1,1,0,1,0,0_,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
attractor_25,t+1,1,0,0,0,0,1,1,1,0,1,0,0_,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
